Champ,Contenu,Explication UX
Nom,Lucas Martin,"Identité du persona. Utilisé pour humaniser la fiche et créer une connexion émotionnelle avec l'utilisateur de la fiche. Doit être un prénom/nom réaliste et mémorable."
Âge,19,"Indicateur démographique clé. L'âge influence les capacités technologiques, les références culturelles, la façon d'apprendre et les attentes en matière de design. Utilisé pour contextualiser les comportements et frustrations."
Localisation,Lyon,"Contexte géographique qui peut influencer l'accès aux services, la langue, les références culturelles, et les contextes socio-économiques. Important pour adapter l'UX à des contextes régionaux."
Poste / Statut,Étudiant en BTS,"Rôle socio-professionnel du persona. Définit le contexte d'usage, les contraintes temporelles, les ressources disponibles, et les priorités. Influence directement les besoins fonctionnels et les frustrations."
Contexte,Première visite en laboratoire sans accompagnement,"Situation spécifique d'usage. Décrit l'environnement, les circonstances et le cadre dans lequel le persona interagit avec le produit/service. Critique pour identifier les friction points et les besoins d'assistance."
Situation médicale,Consultation pour dépistage IST/MST,"Contexte clinique et sensibilité de l'interaction. Explique pourquoi certains besoins existent (discrétion, rapidité, clarté). Détermine le ton du design (rassurant, non-jugeant, professionnel)."
Niveau de connaissance,2,"Échelle 1-5 : capacité du persona à comprendre les concepts techniques/médicaux liés au service. Score bas = besoin de simplification extrême, jargon à éviter, pas de termes techniques complexes."
Niveau de compréhension,3,"Échelle 1-5 : capacité du persona à interpréter les instructions, à suivre un parcours, à comprendre les résultats. Score moyen = besoin d'équilibre entre clarté et concision. Aide visuelle recommandée."
Taux de distraction,4,"Échelle 1-5 : probabilité que le persona soit distrait lors de son interaction. Score élevé = environnement potentiellement bruyant/stressant, interface doit être hyper-claire, étapes guidées, feedback continu pour recapturer attention."
Objectifs personnels,"Être dépisté rapidement et discrètement; Comprendre les résultats sans jargon médical; Se sentir rassuré dans un environnement inconnu","Motivations profondes du persona. Expliquent POURQUOI il utilise le service et ce qu'il espère en retirer. Définissent les critères de succès d'une bonne UX. À utiliser pour évaluer si chaque écran répond à ces objectifs."
Besoins fonctionnels,"Interface simple et rassurante; Parcours guidé étape par étape; Accès mobile aux résultats; Informations claires sur la procédure","Exigences concrètes pour l'UX. Spécifient COMMENT satisfaire les objectifs. Guidant le design de l'interface: structures claires, microcopy rassurante, mobile-first, progressive disclosure, etc."
Frustrations,"Ambiance trop clinique; Terminologie médicale incompréhensible; Manque d'indications sur les étapes; Peur du jugement ou de l'erreur","Points de friction actuels ou anticipés. Spécifient ce qu'il NE faut PAS faire. À utiliser pour éviter les pièges UX: humaniser le design, simplifier le langage, ajouter des guidances, créer un environnement bienveillant."
Opportunités UX,"Design chaleureux et non stigmatisant; Signalétique claire et inclusive; Interface mobile intuitive; Aides contextuelles et visuelles","Solutions d'amélioration et d'innovation. Spécifient les démarches PROACTIVES pour améliorer l'UX. À utiliser pour aller au-delà des requirements: choisir des couleurs chaleureuses, icônes inclusives, tooltips contextuels, animations rassurantes."
